stim_id,degree,context_sentence,superordinate,np,np_expectations,adj,adj_polarity,np_match,originalResponse,cat_cleaned,specific,matchingSuper,mode_np,np_pl,superordinate.freq
83,weight,Laura is at a craft shop and picks up a piece of silk.,materials,silk,low,light,negative,silk,fabrics,fabric,0,0,materials,silks,materials
87,width,Michael is driving on a downtown street.,roads,downtown street,medium,wide,positive,downtown,streets,streets,0,0,roads,downtown streets,roads
69,strength,John is watching a cyclist lift weights.,athletes,cyclist,medium,strong,positive,cyclist,people,people,0,0,athletes,cyclists,athletes
7,darkness,David takes a walk and notices the coat of a spaniel.,dogs,spaniel,medium,dark,negative,spaniel,coats,coat,0,0,dogs,spaniels,dogs
4,darkness,Charles steps outside during the dusk.,times of day,dusk,medium,dark,negative,dusk,evenings,evenings,0,0,times of day,dusks,times of day
69,strength,Alexander is watching a wrestler lift weights.,athletes,wrestler,high,strong,positive,wrestler,people,people,0,0,athletes,wrestlers,athletes
87,width,Melinda is driving on a downtown street.,roads,downtown street,medium,narrow,negative,downtown,streets,streets,0,0,roads,downtown streets,roads
90,width,Mika is attempting to move furniture through the back door of her house.,doorways,back door,low,wide,positive,back,furniture,furniture,0,0,doorways,back doors,doorways
50,price,Charles is considering different places for dinner and looks at the menu of a Korean restaurant.,restaurants,Korean restaurant,medium,cheap,negative,korean,meals in resataurants,restaurants,0,1,restaurants,korean restaurants,restaurants
1,darkness,Gabriel is going for a walk and notices the color of a parrot.,birds,parrot,medium,light,positive,parrot,animals,animals,0,0,birds,parrots,birds
78,weight,Claire is at the zoo and watches a fish being lifted.,animals,fish,low,heavy,positive,fish,things you pick up,things pick-up,0,0,animals,fish,animals
69,strength,Cameron is watching a golfer lift weights.,athletes,golfer,low,weak,negative,golfer,people,people,0,0,athletes,golfers,athletes
83,weight,Gary is at a craft shop and picks up a piece of wool.,materials,wool,high,light,negative,wool,Fabric,fabric,0,0,materials,wool,materials
90,width,John is attempting to move furniture through the patio door of his house.,doorways,patio door,medium,wide,positive,patio,Doors,doors,0,0,doorways,patio doors,doorways
24,length_duration,Lucas sees a friend driving a pick-up truck.,vehicles,pick-up truck,medium,long,positive,pick-up,Pickup trucks,pick-up truck,1,0,pick-up truck,pick up trucks,vehicles
38,loudness,Veronica is in a forest and hears a mockingbird .,birds,mockingbird,high,quiet,negative,mockingbird,locations,locations,0,0,birds,mockingbirds,birds
66,speed_f,Lucas is at an airport and sees a helicopter in the air.,aircrafts,helicopter,medium,fast,positive,helicopter,vehicles,vehicles,0,0,aircrafts,helicopters,aircrafts
90,width,Alexander is attempting to move furniture through the patio door of his house.,doorways,patio door,medium,narrow,negative,patio,the furniture,furniture,0,0,doorways,patio doors,doorways
7,darkness,Charles takes a walk and notices the coat of a pitbull.,dogs,pitbull,low,light,positive,pitbull,coats of animals,animal coat,0,0,dogs,pitbulls,dogs
29,loudness,Daniel is listening to a rock concert.,concerts,rock concert,high,loud,positive,rock concert,music,music,0,0,concerts,rock concerts,concerts
83,weight,Tanya is at a craft shop and picks up a piece of cotton.,materials,cotton,medium,light,negative,cotton,things at the craft shop,things,0,0,materials,cottons,materials
69,strength,Kathleen is watching a cyclist lift weights.,athletes,cyclist,medium,weak,negative,cyclist,other weight lifters,weightlifters,0,0,athletes,cyclists,athletes
31,loudness_n,Kim is at a friend's place and hears her pet fish.,pets,fish,low,loud,positive,fish,things in the room,things,0,0,pets,fish,pets
76,temperature_h,Lee is spending his Saturday at a sauna.,places,sauna,high,hot,positive,sauna,environments,environment,0,0,places,saunas,places
3,darkness,Stephanie is at a bakery and looks at the color of a chocolate cake.,cakes,chocolate cake,low,light,positive,chocolate,food,food,0,0,cakes,chocolate cakes,cakes
64,speed,Alexander is at a friend's house and sees their pet turtle come towards them.,pets,turtle,low,slow,negative,turtle,animals,animals,0,0,pets,turtles,pets
90,width,Josh is attempting to move furniture through the back door of his house.,doorways,back door,low,narrow,negative,back,places in the house.,doorways,0,1,doorways,back doors,doorways
40,loudness,Tanya wants to play music and tries out an ukelele.,guitars,ukelele,low,loud,positive,ukelele,instruments.,instruments,0,0,guitars,ukeleles,guitars
24,length_duration,Charles sees a friend driving a pick-up truck.,vehicles,pick-up truck,medium,long,positive,pick-up,trucks,truck,0,0,vehicles,pick up trucks,vehicles
67,strength,Mika watches a child lift up a box.,people,child,low,strong,positive,child,box,box,0,0,people,children,people
87,width,Simon is driving on a downtown street.,roads,downtown street,medium,narrow,negative,downtown,street,street,0,0,roads,downtown streets,roads
50,price,Claire is considering different places for dinner and looks at the menu of a Japanese restaurant.,restaurants,Japanese restaurant,high,cheap,negative,japanese,dinner,dinner,0,0,restaurants,japanese restaurants,restaurants
41,price,Kim is at a decoration shop and looks at a statue made of platinum.,statues,platinum,high,cheap,negative,platinum,decorations,decor,0,0,statues,platinum statue,statues
41,price,Alexander is at a decoration shop and looks at a statue made of plastic.,statues,plastic,low,cheap,negative,plastic,decorations,decor,0,0,statues,plastic statues,statues
24,length_duration,Kim sees a friend driving a pick-up truck.,vehicles,pick-up truck,medium,short,negative,pick-up,pickup trucks,pick-up truck,1,0,pick-up truck,pick up trucks,vehicles
61,speed,Natalia wants to cook dinner and considers using an instant pot.,cookware,instant pot,high,slow,negative,instant pot,Pots,cookware,0,1,cookware,instant pot,cookware
14,hardness,Monica is in her bedroom and sits on a blanket.,furniture,blanket,medium,soft,negative,blanket,Blwnkets,blanket,1,0,blanket,blankets,furniture
10,hardness,Kim is eating a marshmallow.,candies,marshmallow,low,soft,negative,marshmallow,foods,food,0,0,candies,marshmallows,candies
81,weight,Melinda is helping a friend move and picks up their trash can.,furniture,trash can,low,light,negative,trash can,containers,containers,0,0,furniture,trash cans,furniture
24,length_duration,Lee sees a friend driving a smartcar.,vehicles,smartcar,low,long,positive,smart,cars,cars,0,0,vehicles,smartcars,vehicles
75,temperature_h,Jennifer is in her kitchen and puts her hand in the pantry.,locations,pantry,medium,cold,negative,pantry,rooms,rooms,0,0,locations,pantries,locations
47,price,Daniel is shopping for berries and looks at the price of raspberries.,berries,raspberries,medium,cheap,negative,raspberries,fruits,fruit,0,0,berries,raspberries,berries
24,length_duration,Anthony sees a friend driving a pick-up truck.,vehicles,pick-up truck,medium,short,negative,pick-up,trucks,truck,0,0,vehicles,pick up trucks,vehicles
24,length_duration,Claire sees a friend driving a limousine.,vehicles,limousine,high,long,positive,limo,cars,cars,0,0,vehicles,limousines,vehicles
4,darkness,Simon steps outside during the day.,times of day,day,high,light,positive,day,places,day,1,1,day,days,times of day
61,speed,Eric wants to cook dinner and considers using a frying pan.,cookware,frying pan,medium,slow,negative,frying pan,stoves,stoves,0,0,cookware,frying pans,cookware
90,width,Charles is attempting to move furniture through the patio door of his house.,doorways,patio door,medium,wide,positive,patio,doors,doors,0,0,doorways,patio doors,doorways
28,length_duration,Alicia is considering listening to her favorite podcast episode.,audios,podcast episode,medium,long,positive,podcast episode,episodes,podcast episode,1,0,podcast episode,podcast episodes,audios
24,length_duration,Alicia sees a friend driving a pick-up truck.,vehicles,pick-up truck,medium,long,positive,pick-up,pick-up trucks,pick-up truck,1,0,pick-up truck,pick up trucks,vehicles
7,darkness,Kim takes a walk and notices the coat of a spaniel.,dogs,spaniel,medium,dark,negative,spaniel,coats,coat,0,0,dogs,spaniels,dogs
33,loudness_n,Michael is taking a walk in a park and hears the cry of a finch.,birds,finch,low,quiet,negative,finch,parks,park,0,0,birds,finches,birds
30,loudness_n,Natalia meets a friend at a party.,venue,party,high,noisy,positive,party,places,places,0,0,venue,parties,venues
31,loudness_n,Mika is at a friend's place and hears her pet parrot.,pets,parrot,high,quiet,negative,parrot,birds,birds,0,0,pets,parrots,pets
47,price,Greg is shopping for berries and looks at the price of boysenberries.,berries,boysenberries,high,cheap,negative,boysenberries,fruits,fruit,0,0,berries,boysenberries,berries
83,weight,Cameron is at a craft shop and picks up a piece of silk.,materials,silk,low,light,negative,silk,fabrics,fabric,0,0,materials,silks,materials
40,loudness,Kathleen wants to play music and tries out an ukelele.,guitars,ukelele,low,loud,positive,ukelele,instruments,instruments,0,0,guitars,ukeleles,guitars
64,speed,Daniel is at a friend's house and sees their pet cat come towards them.,pets,cat,medium,quick,positive,cat,animals,animals,0,0,pets,cats,pets
41,price,Julia is at a decoration shop and looks at a statue made of bronze.,statues,bronze,medium,expensive,positive,bronze,merchandise,items,0,0,statues,bronze statues,statues
40,loudness,John wants to play music and tries out a bass guitar.,guitars,bass guitar,high,loud,positive,bass,instruments,instruments,0,0,guitars,bass guitars,guitars
30,loudness_n,Charles meets a friend at a conference center.,venue,conference center,medium,quiet,negative,conference center,rooms,rooms,0,0,venue,conference centers,venues
56,size,Kim sees her friend's new smartcar.,vehicles,smartcar,low,small,negative,smart,cars,cars,0,0,vehicles,smartcars,vehicles
61,speed,Alexander wants to cook dinner and considers using an instant pot.,cookware,instant pot,high,slow,negative,instant pot,methods,cookwares,0,1,cookware,instant pot,cookware
41,price,Charles is at a decoration shop and looks at a statue made of plastic.,statues,plastic,low,expensive,positive,plastic,decorations they plan to buy,decor,0,0,statues,plastic statues,statues
42,price,Cameron is looking to rent a new place and checks out a house.,rentals,house,medium,cheap,negative,house,options in housing market,options rental house,1,0,house,houses,rentals
10,hardness,Alexander is eating a marshmallow.,candies,marshmallow,low,soft,negative,marshmallow,desserts,desserts,0,0,candies,marshmallows,candies
77,temperature_h,William is at a restaurant and takes a taste of a smoothie.,food,smoothie,low,hot,positive,smoothie,Beverages,beverages,0,0,food,smoothies,food
83,weight,Stephen is at a craft shop and picks up a piece of silk.,materials,silk,low,light,negative,silk,commodities,commodities,0,0,materials,silks,materials
72,temperature,Kim takes the first bite of her ice cream.,food,ice cream,low,cold,negative,ice cream,desserts,desserts,0,0,food,ice cream,food
47,price,Angela is shopping for berries and looks at the price of raspberries.,berries,raspberries,medium,expensive,positive,raspberries,prices of fruits,raspberries,1,1,raspberries,raspberries,berries
40,loudness,Michelle wants to play music and tries out an ukelele.,guitars,ukelele,low,loud,positive,ukelele,musical instruments,instruments,0,0,guitars,ukeleles,guitars
90,width,Melinda is attempting to move furniture through the front gate of her house.,doorways,front gate,high,wide,positive,front gate,furniture,furniture,0,0,doorways,front gates,doorways
83,weight,Jasmine is at a craft shop and picks up a piece of cotton.,materials,cotton,medium,light,negative,cotton,fabrics,fabric,0,0,materials,cottons,materials
83,weight,Tom is at a craft shop and picks up a piece of silk.,materials,silk,low,heavy,positive,silk,fabric,fabric,0,0,materials,silks,materials
30,loudness_n,David meets a friend at a conference center.,venue,conference center,medium,noisy,positive,conference center,rooms,rooms,0,0,venue,conference centers,venues
47,price,Gabriel is shopping for berries and looks at the price of strawberries.,berries,strawberries,low,expensive,positive,strawberries,fruit,fruit,0,0,berries,strawberries,berries
24,length_duration,Angela sees a friend driving a smartcar.,vehicles,smartcar,low,long,positive,smart,cars,cars,0,0,vehicles,smartcars,vehicles
30,loudness_n,Lucas meets a friend at a conference center.,venue,conference center,medium,quiet,negative,conference center,places,places,0,0,venue,conference centers,venues
40,loudness,Maya wants to play music and tries out a bass guitar.,guitars,bass guitar,high,loud,positive,bass,instruments,instruments,0,0,guitars,bass guitars,guitars
84,weight,Veronica learns about the weight of a friend's new truck.,vehicles,truck,high,heavy,positive,truck,cars,cars,0,0,vehicles,trucks,vehicles
69,strength,Michael is watching a cyclist lift weights.,athletes,cyclist,medium,strong,positive,cyclist,people,people,0,0,athletes,cyclists,athletes
90,width,David is attempting to move furniture through the patio door of his house.,doorways,patio door,medium,wide,positive,patio,doors,doors,0,0,doorways,patio doors,doorways
56,size,Claire sees her friend's new smartcar.,vehicles,smartcar,low,small,negative,smart,automobiles,cars,0,0,vehicles,smartcars,vehicles
83,weight,Kim is at a craft shop and picks up a piece of wool.,materials,wool,high,heavy,positive,wool,types of cloth,fabric,0,0,materials,wool,materials
72,temperature,Lucas takes the first bite of his soup.,food,soup,high,warm,positive,soup,dishes,food,0,1,food,soups,food
25,length_duration,Greg thinks about watching his favorite sitcom.,entertainment,sitcom,low,short,negative,sitcom,episodes,sitcom,1,0,sitcom,sitcoms,entertainment
86,width,Sophie is in a forest and sees a bear den.,dens,bear den,high,narrow,negative,bear,spaces,spaces,0,0,dens,bear dens,dens
53,size,Monica is looking in an insect terrarium and sees a spider.,insects,spider,high,small,negative,spider,things in the terrarium,things,0,0,insects,spiders,insects
41,price,Jennifer is at a decoration shop and looks at a statue made of bronze.,statues,bronze,medium,cheap,negative,bronze,decorations,decor,0,0,statues,bronze statues,statues
90,width,Josh is attempting to move furniture through the patio door of his house.,doorways,patio door,medium,wide,positive,patio,doors,doors,0,0,doorways,patio doors,doorways
83,weight,Eric is at a craft shop and picks up a piece of silk.,materials,silk,low,heavy,positive,silk,fabric,fabric,0,0,materials,silks,materials
90,width,Alicia is attempting to move furniture through the patio door of her house.,doorways,patio door,medium,wide,positive,patio,doors,doors,0,0,doorways,patio doors,doorways
31,loudness_n,Mika is at a friend's place and hears her pet parrot.,pets,parrot,high,loud,positive,parrot,birds,birds,0,0,pets,parrots,pets
90,width,John is attempting to move furniture through the front gate of his house.,doorways,front gate,high,wide,positive,front gate,furniture,furniture,0,0,doorways,front gates,doorways
86,width,Alexander is in a forest and sees a bear den.,dens,bear den,high,narrow,negative,bear,forest spaces,forest,0,0,dens,bear dens,dens
89,width,David is walking on a boulevard.,roads,boulevard,high,wide,positive,boulevard,walkways,walkways,0,0,roads,boulevards,roads
81,weight,Veronica is helping a friend move and picks up their chair.,furniture,chair,medium,heavy,positive,chair,objects,objects,0,0,furniture,chairs,furniture
32,loudness_n,Anthony is spending his Saturday night at a library.,venues,library,low,quiet,negative,library,locations,locations,0,0,venues,libraries,venues
89,width,Eric is walking on a boulevard.,roads,boulevard,high,narrow,negative,boulevard,walkways,walkways,0,0,roads,boulevards,roads
76,temperature_h,Simon is spending his Saturday at an ice rink.,places,ice rink,low,cold,negative,ice rink,locations,locations,0,0,places,ice rinks,places
56,size,Monica sees her friend's new smartcar.,vehicles,smartcar,low,small,negative,smart,cars,cars,0,0,vehicles,smartcars,vehicles
83,weight,Cameron is at a craft shop and picks up a piece of wool.,materials,wool,high,heavy,positive,wool,fabrics,fabric,0,0,materials,wool,materials
45,price,Natalia wants to buy a bracelet and looks at one made of gold.,bracelets,gold,high,cheap,negative,gold,jewelry,jewelry,0,0,bracelets,gold bracelets,bracelets
35,loudness,Tanya is in a room with a teenager.,people,teenager,medium,quiet,negative,teenager,children,babyren,0,0,people,teenagers,people
33,loudness_n,Jennifer is taking a walk in a park and hears the cry of a rooster.,birds,rooster,high,loud,positive,rooster,animals,animals,0,0,birds,roosters,birds
40,loudness,Anthony wants to play music and tries out an ukelele.,guitars,ukelele,low,quiet,negative,ukelele,instruments,instruments,0,0,guitars,ukeleles,guitars
83,weight,Kim is at a craft shop and picks up a piece of silk.,materials,silk,low,light,negative,silk,fabrics,fabric,0,0,materials,silks,materials
56,size,Maya sees her friend's new sedan.,vehicles,sedan,medium,small,negative,sedan,cars,cars,0,0,vehicles,sedans,vehicles
66,speed_f,Kathleen is at an airport and sees a helicopter in the air.,aircrafts,helicopter,medium,slow,negative,helicopter,vehicles,vehicles,0,0,aircrafts,helicopters,aircrafts
41,price,Eric is at a decoration shop and looks at a statue made of plastic.,statues,plastic,low,expensive,positive,plastic,decorations,decor,0,0,statues,plastic statues,statues
30,loudness_n,Robert meets a friend at a party.,venue,party,high,noisy,positive,party,places,places,0,0,venue,parties,venues
41,price,Jasmine is at a decoration shop and looks at a statue made of plastic.,statues,plastic,low,expensive,positive,plastic,decorations,decor,0,0,statues,plastic statues,statues
24,length_duration,Charles sees a friend driving a pick-up truck.,vehicles,pick-up truck,medium,long,positive,pick-up,pick-up trucks,pick-up truck,1,0,pick-up truck,pick up trucks,vehicles
4,darkness,Lee steps outside during the dusk.,times of day,dusk,medium,dark,negative,dusk,nights,nights,0,0,times of day,dusks,times of day
41,price,Simon is at a decoration shop and looks at a statue made of bronze.,statues,bronze,medium,expensive,positive,bronze,decorations,decor,0,0,statues,bronze statues,statues
61,speed,Josh wants to cook dinner and considers using an instant pot.,cookware,instant pot,high,slow,negative,instant pot,methods,cookwares,0,1,cookware,instant pot,cookware
83,weight,Mika is at a craft shop and picks up a piece of silk.,materials,silk,low,light,negative,silk,fabrics,fabric,0,0,materials,silks,materials
31,loudness_n,John is at a friend's place and hears his pet cat.,pets,cat,medium,quiet,negative,cat,homes,house,0,0,pets,cats,pets
29,loudness,David is listening to a rock concert.,concerts,rock concert,high,loud,positive,rock concert,public areas,areas,0,0,concerts,rock concerts,concerts
62,speed_f,Simon sees a truck on the highway.,vehicles,truck,low,slow,negative,truck,cars,cars,0,0,vehicles,trucks,vehicles
59,speed,Lee is in the park and sees a jogger.,people,jogger,medium,fast,positive,jogger,runners,runners,0,0,people,joggers,people
90,width,Angela is attempting to move furniture through the front gate of her house.,doorways,front gate,high,wide,positive,front gate,furniture,furniture,0,0,doorways,front gates,doorways
47,price,Alicia is shopping for berries and looks at the price of strawberries.,berries,strawberries,low,cheap,negative,strawberries,fruit,fruit,0,0,berries,strawberries,berries
38,loudness,Jennifer is in a forest and hears a woodpecker.,birds,woodpecker,medium,quiet,negative,woodpecker,places,places,0,0,birds,woodpeckers,birds
61,speed,Gary wants to cook dinner and considers using an instant pot.,cookware,instant pot,high,quick,positive,instant pot,pots,cookware,0,1,cookware,instant pot,cookware
38,loudness,Melinda is in a forest and hears a mockingbird .,birds,mockingbird,high,quiet,negative,mockingbird,areas,areas,0,0,birds,mockingbirds,birds
88,width,Laura is standing at the bank of a stream.,waterways,stream,medium,wide,positive,stream,rivers,rivers,0,0,waterways,streams,waterways
83,weight,Eric is at a craft shop and picks up a piece of wool.,materials,wool,high,light,negative,wool,items in the craft shop,items,0,0,materials,wool,materials
24,length_duration,Monica sees a friend driving a smartcar.,vehicles,smartcar,low,long,positive,smart,cars,cars,0,0,vehicles,smartcars,vehicles
10,hardness,Gary is eating a marshmallow.,candies,marshmallow,low,soft,negative,marshmallow,food,food,0,0,candies,marshmallows,candies
24,length_duration,Lee sees a friend driving a pick-up truck.,vehicles,pick-up truck,medium,long,positive,pick-up,trucks,truck,0,0,vehicles,pick up trucks,vehicles
24,length_duration,Laura sees a friend driving a pick-up truck.,vehicles,pick-up truck,medium,short,negative,pick-up,trucks,truck,0,0,vehicles,pick up trucks,vehicles
7,darkness,Anthony takes a walk and notices the coat of a poodle.,dogs,poodle,high,dark,negative,poodle,coats,coat,0,0,dogs,poodles,dogs
40,loudness,Sophie wants to play music and tries out an ukelele.,guitars,ukelele,low,quiet,negative,ukelele,instruments,instruments,0,0,guitars,ukeleles,guitars
44,price,Charles is shopping for spices and looks at garlic.,spices,garlic,medium,expensive,positive,garlic,items,items,0,0,spices,garlic,spices
69,strength,Julia is watching a cyclist lift weights.,athletes,cyclist,medium,weak,negative,cyclist,people,people,0,0,athletes,cyclists,athletes
56,size,Daniel sees his friend's new smartcar.,vehicles,smartcar,low,small,negative,smart,cars,cars,0,0,vehicles,smartcars,vehicles
24,length_duration,William sees a friend driving a pick-up truck.,vehicles,pick-up truck,medium,short,negative,pick-up,pick-up trucks,pick-up truck,1,0,pick-up truck,pick up trucks,vehicles
30,loudness_n,Josh meets a friend at a party.,venue,party,high,noisy,positive,party,places,places,0,0,venue,parties,venues
7,darkness,Claire takes a walk and notices the coat of a pitbull.,dogs,pitbull,low,light,positive,pitbull,coats,coat,0,0,dogs,pitbulls,dogs
26,length_duration,Alicia is looking at an alley on Google Maps.,roads,alley,low,short,negative,alley,streets,streets,0,0,roads,alleys,roads
58,size,Jennifer is taking a walk and sees a poodle.,dogs,poodle,medium,small,negative,poodle,dog breeds,dogs,0,1,dogs,poodles,dogs
33,loudness_n,Maya is taking a walk in a park and hears the cry of a crow.,birds,crow,medium,loud,positive,crow,bird sounds,bird sound,0,0,birds,crows,birds
65,speed,Kim is taking a walk with a elderly person.,people,elderly person,low,slow,negative,elder,walkers,walkers,0,0,people,elderly people,people
21,length_duration,Veronica is at a pet store and notices the length of a dachshund.,dogs,dachshund,high,long,positive,dachshund,dog breeds,dogs,0,1,dogs,dachshunds,dogs
24,length_duration,Gary sees a friend driving a smartcar.,vehicles,smartcar,low,short,negative,smart,car models,cars,0,0,vehicles,smartcars,vehicles
21,length_duration,Kathleen is at a pet store and notices the length of a dachshund.,dogs,dachshund,high,short,negative,dachshund,taller breeds,dogs,0,1,dogs,dachshunds,dogs
1,darkness,Kim is going for a walk and notices the color of a seagull.,birds,seagull,high,dark,negative,seagull,bird species,birds,0,1,birds,seagulls,birds
9,hardness,Eric is at a vegetable market and picks up a mushroom.,vegetables,mushroom,low,soft,negative,mushroom,food items,food,0,0,vegetables,mushrooms,vegetables
41,price,Julia is at a decoration shop and looks at a statue made of plastic.,statues,plastic,low,expensive,positive,plastic,decorations,decor,0,0,statues,plastic statues,statues
62,speed_f,Alicia sees a truck on the highway.,vehicles,truck,low,fast,positive,truck,cars,cars,0,0,vehicles,trucks,vehicles
32,loudness_n,Kathleen is spending her Saturday night at a restaurant.,venues,restaurant,medium,quiet,negative,restaurant,envrionments,environment,0,0,venues,restaurants,venues
74,temperature,Jasmine steps outside on a day in summer.,seasons,summer,high,warm,positive,summer,indoor areas,venue,0,0,seasons,summer days,seasons
64,speed,Lucas is at a friend's house and sees their pet turtle come towards them.,pets,turtle,low,slow,negative,turtle,animals,animals,0,0,pets,turtles,pets
30,loudness_n,Angela meets a friend at a conference center.,venue,conference center,medium,noisy,positive,conference center,locations,locations,0,0,venue,conference centers,venues
77,temperature_h,Melinda is at a restaurant and takes a taste of a chocolate fondue.,food,chocolate fondue,high,hot,positive,fondue,foods,food,0,0,food,chocolate fondues,food
37,loudness_n,Robert is on the sidewalk and hears an electric car drive by.,vehicles,electric car,low,quiet,negative,electric,cars,cars,0,0,vehicles,electric cars,vehicles
31,loudness_n,Lucas is at a friend's place and hears his pet parrot.,pets,parrot,high,loud,positive,parrot,birds,birds,0,0,pets,parrots,pets
24,length_duration,William sees a friend driving a smartcar.,vehicles,smartcar,low,long,positive,smart,cars,cars,0,0,vehicles,smartcars,vehicles
49,price,Angela is at a liquor store and wants to buy a bottle of top-shelf liquor.,alcoholic drinks,bottle of top-shelf liquor,high,expensive,positive,liquor,spirits,liquor,1,0,bottle of top-shelf liquor,liquors,alcoholic drinks
37,loudness_n,Monica is on the sidewalk and hears an electric car drive by.,vehicles,electric car,low,loud,positive,electric,cars,cars,0,0,vehicles,electric cars,vehicles
37,loudness_n,William is on the sidewalk and hears an electric car drive by.,vehicles,electric car,low,quiet,negative,electric,cars,cars,0,0,vehicles,electric cars,vehicles
5,darkness,Stephanie is writing with a piece of chalk and notices the color of the script.,scripts,piece of chalk,high,dark,negative,chalk,scripts,script,0,0,scripts,chalks,scripts
56,size,Kathleen sees her friend's new sedan.,vehicles,sedan,medium,small,negative,sedan,cars,cars,0,0,vehicles,sedans,vehicles
38,loudness,Gabriel is in a forest and hears a owl.,birds,owl,low,loud,positive,owl,animals,animals,0,0,birds,owls,birds
77,temperature_h,Laura is at a restaurant and takes a taste of a chocolate fondue.,food,chocolate fondue,high,cold,negative,fondue,food,food,0,0,food,chocolate fondues,food
76,temperature_h,Josh is spending his Saturday at an ice rink.,places,ice rink,low,cold,negative,ice rink,locations,locations,0,0,places,ice rinks,places
47,price,Kim is shopping for berries and looks at the price of boysenberries.,berries,boysenberries,high,cheap,negative,boysenberries,fruit,fruit,0,0,berries,boysenberries,berries
5,darkness,Charles is writing with a pen and notices the color of the script.,scripts,pen,medium,dark,negative,pen,paper,paper,0,0,scripts,pens,scripts
67,strength,Laura watches an adult lift up a box.,people,adult,high,weak,negative,adult,gents,men,0,0,people,adults,people
44,price,John is shopping for spices and looks at saffron.,spices,saffron,high,expensive,positive,saffron,products,products,0,0,spices,saffron,spices
47,price,Robert is shopping for berries and looks at the price of raspberries.,berries,raspberries,medium,cheap,negative,raspberries,fruits,fruit,0,0,berries,raspberries,berries
